year,month,day,time,generation biomass,generation other renewable,generation solar,generation wind onshore
2016,02,26,13,1.3975445982643566,0.8989956142310435,0.9155019162901371,1.6999391371169257
2016,02,26,14,1.405366676239717,0.922346149665616,0.6845330639334029,1.8362343003920127
2016,02,26,15,1.3975445982643566,0.9340214173829022,0.4926405128817354,1.9064857671002458
2016,02,26,16,1.332360615136355,0.9456966851001886,0.29795679745113457,1.9130718421041426
2016,02,26,17,1.301072303234914,0.9456966851001886,0.13955821894666726,1.893679510148224
2016,02,26,18,1.3062870218851543,0.922346149665616,0.0327961814524668,1.781716235081978
2016,02,26,19,1.3375753337865952,0.9456966851001886,0.010466866421000044,1.8501382365113506
2016,02,26,20,1.2332809607817925,0.8989956142310435,0.010466866421000044,1.989726437288386
2016,02,26,21,1.212422086180832,0.7705676693408944,0.007675702042066699,2.059063171357189
2016,02,26,22,1.186348492929631,0.8522945433618984,0.007675702042066699,2.140108483210697
2016,02,26,23,1.0585878859987479,0.7355418661890355,0.007675702042066699,2.1219967769499806
2016,02,27,00,0.9803671062451458,0.712191330754463,0.006280119852600026,2.0641856741379976
2016,02,27,01,0.9595082316441852,0.712191330754463,0.006280119852600026,2.0169854699434038
2016,02,27,02,0.951686153668825,0.7005160630371767,0.006280119852600026,2.0372925345387523
2016,02,27,03,0.9569008723190652,0.712191330754463,0.006280119852600026,2.132424729039484
2016,02,27,04,0.9647229502944253,0.712191330754463,0.006280119852600026,2.082297380398714
2016,02,27,05,0.9725450282697855,0.6888407953198904,0.006280119852600026,2.162245013084906
2016,02,27,06,0.9829744655702658,0.6888407953198904,0.006280119852600026,2.1280340123702195
2016,02,27,07,0.9803671062451458,0.7005160630371767,0.006977910947333362,2.078455503313107
2016,02,27,08,0.9803671062451458,0.712191330754463,0.07047690056806696,2.1093734665258452
2016,02,27,09,0.9829744655702658,0.712191330754463,0.3865762664822683,2.1746853769811554
2016,02,27,10,0.9751523875949056,0.7005160630371767,0.79478405690127,2.2624997103664466
2016,02,27,11,0.9803671062451458,0.7238665984717493,1.2113653404570717,2.321408492345746
2016,02,27,12,0.9803671062451458,0.7355418661890355,1.4374496551506726,2.3190301874832278
2016,02,27,13,0.9777597469200257,0.7238665984717493,1.560958678918473,2.3179325083159115
2016,02,27,14,0.9751523875949056,0.7355418661890355,1.425587206540206,2.370072268763428
2016,02,27,15,0.9777597469200257,0.7355418661890355,1.373950665529939,2.4068445208685185
2016,02,27,16,0.9699376689446655,0.7355418661890355,1.2134587137412718,2.425870959768665
2016,02,27,17,0.9699376689446655,0.7355418661890355,0.8931726012586704,2.3997096062809637
2016,02,27,18,0.9647229502944253,0.7238665984717493,0.4738001533239353,2.3283604604054147
2016,02,27,19,0.9725450282697855,0.7238665984717493,0.08792167793640036,2.3195790270668857
2016,02,27,20,0.9855818248953859,0.712191330754463,0.016049195178866733,2.304028572196574
2016,02,27,21,0.9934039028707461,0.712191330754463,0.01465361298940006,2.3276286742938708
2016,02,27,22,0.9934039028707461,0.7005160630371767,0.01465361298940006,2.3369589472160577
2016,02,27,23,0.9777597469200257,0.6888407953198904,0.01465361298940006,2.285550972880085
2016,02,28,00,0.9751523875949056,0.6888407953198904,0.01465361298940006,2.2209708485363193
2016,02,28,01,0.9699376689446655,0.6888407953198904,0.01465361298940006,2.1840156499033427
